City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
432,Mahenge,TZ,65.07,light rain,-8.6833,36.7167,Mkondosii Guest House
433,Gurupa,BR,82.27,overcast clouds,-1.405,-51.64,Hotel Vitória
434,Mbekenyera,TZ,71.76,overcast clouds,-10.0,38.9833,
435,Sawakin,SD,73.04,clear sky,19.1059,37.3321,فندق الدويم
436,Busdi,PH,66.29,overcast clouds,8.2761,125.2514,
439,San Quintin,MX,66.76,clear sky,30.4833,-115.95,Don Eddie's Landing
444,Vilhena,BR,80.82,broken clouds,-12.7406,-60.1458,Hotel Mirage
450,Bom Jardim,BR,88.14,light rain,-7.7958,-35.5872,Pousada do Posto Jose Breno
452,Yambio,SS,92.32,overcast clouds,4.5721,28.3955,Naivasha Hotel
454,Viedma,AR,78.62,overcast clouds,-40.8135,-62.9967,Hotel Cristal
455,Chokwe,MZ,84.04,clear sky,-24.5333,32.9833,Complexo Sonho Real
457,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
461,Santa Vitoria Do Palmar,BR,76.24,overcast clouds,-33.5189,-53.3681,Hostel Comodoro
463,Kimbe,PG,74.77,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
465,San Blas,MX,73.76,clear sky,21.5167,-105.2667,Hotel Posada del Rey
467,Fonte Boa,BR,79.39,overcast clouds,-2.4959,-66.2662,
471,Ibra,OM,72.95,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
472,Adrar,MR,78.75,few clouds,20.5022,-10.0711,
473,Beira,MZ,84.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
474,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
475,Oussouye,SN,98.78,clear sky,12.485,-16.5469,Auberge du Routard
477,West Bay,KY,84.07,broken clouds,19.3667,-81.4167,Calypso Cove
484,Ixtapa,MX,79.25,clear sky,20.7,-105.2,Hotel Plaza Providencia
485,Ariquemes,BR,80.85,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
487,Labuan,MY,75.56,moderate rain,5.2767,115.2417,Tiara Labuan Hotel
499,Luganville,VU,78.24,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
502,Manali,IN,81.07,few clouds,13.1667,80.2667,Sarathy Lodge
503,Puerto Leguizamo,CO,88.86,overcast clouds,-0.1934,-74.7819,la casona de juancho
504,Lotofaga,WS,74.98,light rain,-13.9764,-171.8578,Sataoa Beach Fales
506,Birao,CF,90.66,clear sky,10.2849,22.7882,
507,Mali,GN,79.92,clear sky,12.079,-12.2982,Hotel La Dame de Mali
509,Jawhar,SO,78.51,overcast clouds,2.7809,45.5005,hantiwadaag village part one
511,Bosaso,SO,76.26,few clouds,11.2842,49.1816,Red Sea Hotel
513,Buchanan,LR,93.16,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
516,San Policarpo,PH,78.35,overcast clouds,12.1791,125.5072,Agapita M. Nicart
517,San Carlos De Bariloche,AR,71.35,clear sky,-41.1456,-71.3082,Hotel Patagonia
519,Acarau,BR,84.22,overcast clouds,-2.8856,-40.12,castelo pizzaria
520,Murray Bridge,AU,74.57,scattered clouds,-35.1167,139.2667,Balcony On Sixth Lodge
521,Talara,PE,79.56,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
523,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
524,Chau Doc,VN,74.41,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
525,Pitimbu,BR,88.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
528,Arica,CL,78.35,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
531,Ler,SS,90.03,scattered clouds,8.3018,30.1418,
532,Maluso,PH,77.09,overcast clouds,6.543,121.8753,
535,Luanda,AO,82.4,clear sky,-8.8368,13.2343,Hotel Fórum
537,Batticaloa,LK,78.17,overcast clouds,7.7102,81.6924,Grand Star Guest House
541,Mhlume,SZ,88.65,clear sky,-26.0333,31.85,Mhlume Country Club
545,Lompoc,US,70.12,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
548,Marrakesh,MA,71.67,few clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
549,George,ZA,76.55,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
550,Cururupu,BR,80.11,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
